,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
957,106.002502,238.665115,101.822739,161.139999,148.36546299999998,242.77999900000003,38.322433000000004,73.237228,128.630005,,191.465225,269.205688,165.091675,110.142265,48.277912,144.508667,95.058624,48.903934,215.254044,162.92434699999998,79.135178,198.205307,113.77988400000001,133.25968899999998,109.079124,303.6474,201.070053,57.125057,35.15374,133.221451
958,109.21711699999999,234.300705,96.635124,156.350006,141.49191299999998,245.05000299999998,37.581203,71.448677,125.410004,,190.620224,266.42746,157.918472,107.890251,48.113411,140.556427,92.120361,47.585609000000005,211.48194900000001,155.054398,76.66364300000001,200.331863,112.499779,132.61944599999998,106.96811699999999,294.94274900000005,195.94928000000002,56.424606000000004,34.068565,134.974243
959,110.93355600000001,238.453156,96.940285,156.800003,143.263824,247.77999900000003,37.850739000000004,70.727638,127.209999,,188.281677,267.366577,159.200424,108.12352800000001,48.335978999999995,139.694305,91.115166,48.138145,211.48194900000001,155.99610900000002,76.488426,205.158676,115.972916,133.832047,106.772644,290.082764,199.035645,56.623385999999996,34.001934000000006,136.19528200000002
960,106.28031899999999,233.722641,94.06594100000001,151.179993,140.567001,235.99000499999997,36.849606,67.375252,123.279999,,182.877487,260.75354,155.393646,106.616211,47.242484999999995,139.917099,89.636368,46.732578000000004,210.074738,153.276703,76.202538,198.403122,126.13431499999999,132.231415,105.052551,287.992859,193.88507099999998,55.762012,33.373684000000004,133.910751
961,107.371696,231.535614,93.957657,146.050003,141.306915,237.55000299999998,36.435669,67.23479499999999,122.489998,,191.71086100000002,259.922089,155.364273,105.952278,47.571507000000004,140.13990800000002,89.55905200000001,47.207565,211.19853199999997,154.15112299999998,76.682098,200.97479199999998,123.792427,132.823166,105.375076,288.50546299999996,194.033951,56.02705,33.345119,134.609894
962,111.399872,234.9077,94.75499,156.029999,142.056595,242.74000499999997,37.013248,67.262886,124.0,,191.55365,262.710083,158.035889,106.72386200000001,48.326298,141.098892,90.341942,47.226955,213.21163900000002,154.00701899999999,76.47919499999999,205.554321,123.276421,133.50221299999998,105.65849299999999,298.20578,195.750793,56.216366,33.725883,135.171188
963,114.05886799999999,238.00033599999998,97.274971,166.080002,143.779846,246.669998,37.667843,69.229355,125.989998,,195.601898,266.407867,161.1185,109.21813999999999,49.768153999999996,142.503479,92.941917,47.769787,215.24427799999998,155.342697,76.32242600000001,207.156662,123.365738,133.880539,107.72065,298.925415,198.79747,56.187965000000005,34.335094,135.151489
964,113.19567099999999,239.22392299999998,96.221687,163.600006,143.516968,247.44999700000002,37.60046,67.32843000000001,125.400002,,193.361618,266.192657,160.991272,108.509331,49.535908,142.455063,92.159035,47.420821999999994,213.700241,153.564957,75.529327,205.000412,125.38014199999999,133.152985,105.003693,299.832367,197.924164,56.074379,33.678288,135.043182
965,114.902184,244.86972000000003,98.68261,165.259995,145.21101399999998,251.32000699999998,37.918125,67.422073,124.08000200000001,,197.468796,271.670898,161.089172,109.164299,50.106838,144.21807900000002,93.048225,47.857029,214.491806,153.920517,76.49765,208.036957,124.57636299999999,134.83123799999998,105.73667900000001,307.344177,198.45015,56.311023999999996,34.192314,137.77081299999998
966,115.874504,246.05474900000002,99.74571999999999,167.860001,142.835449,253.44999700000002,37.694679,65.94253499999999,123.309998,,195.09094199999998,271.582825,160.179031,108.64391299999998,50.551978999999996,142.70694,93.724823,47.672855,214.589539,152.584839,75.289551,210.14373799999998,125.667923,135.073746,105.36529499999999,308.625763,201.804428,56.273159,34.144718,140.892334
967,112.134064,236.43956,100.021355,168.080002,145.98014799999999,247.850006,37.179775,66.663574,122.550003,,196.417419,273.236084,162.067749,108.17736799999999,49.361721,141.660736,94.614021,47.84734,217.59937999999997,154.093491,74.51488499999999,203.942093,125.667923,133.987259,106.11783600000001,307.55120800000003,199.928802,56.074379,34.04953,138.351791
968,115.58678400000001,246.65211499999998,102.265694,171.199997,149.436401,251.52999900000003,37.47123,68.077568,123.370003,,198.284348,275.96542400000004,165.111252,109.46936799999999,50.019749,143.588425,96.61380799999999,47.86673,220.921967,156.39009099999998,74.920654,208.086411,126.928177,135.219254,109.37233,313.633606,201.992996,56.471934999999995,34.858646,139.631927
969,112.27298,243.45346099999998,100.16900600000001,159.53999299999998,147.528168,250.13999900000002,37.47123,67.70300300000001,120.93,,197.5867,270.457825,163.32038899999998,109.433472,49.710091,141.680099,95.61879,47.440208,218.98704500000002,155.890427,73.435898,203.665146,126.670166,135.432693,109.000946,309.986145,198.92648300000002,56.282619,34.220871,138.47981299999998
970,114.177917,248.251434,101.763664,164.610001,150.682602,259.980011,38.277584000000004,69.088898,122.910004,,200.05296299999998,276.640411,167.880707,111.317619,50.968078999999996,143.249374,97.286896,48.04121,221.32263199999997,159.983932,73.814003,207.542419,129.06166100000002,136.49006699999998,111.21948200000001,318.582367,200.931122,56.424606000000004,34.734901,138.735825
971,114.068779,231.31402599999998,104.83783000000001,168.0,152.52268999999998,260.22000099999997,38.656475,70.437347,123.089996,,204.356659,278.332764,170.063019,117.97496000000001,51.645462,144.227753,99.286682,48.913628,220.658127,161.156265,74.21978,208.28421,128.714355,137.41163600000002,112.99820700000001,317.83313,201.437241,56.62358100000001,35.286999,139.198639
972,116.053101,228.047913,105.11460100000001,167.330002,154.742493,265.980011,38.714766999999995,69.294907,124.980003,,203.924316,279.70239300000003,170.650192,114.655266,51.113239,146.242615,98.720886,49.252907,219.71020499999997,162.684143,74.109116,213.45721400000002,129.97460900000002,138.643631,113.20343799999999,323.18606600000004,205.069427,56.757515000000005,34.592113,140.596939
973,123.424866,230.75520299999997,105.38149299999999,167.350006,158.315552,267.070007,39.210232,69.77248399999999,124.970001,,210.38970899999998,280.67086800000004,171.609222,114.134872,52.138981,147.085373,99.93051899999999,49.524322999999995,220.96106,162.059525,74.109116,218.986267,128.46627800000002,140.16665600000002,113.897346,325.285797,204.831253,56.967976,35.15374,142.04446399999998
