ds,y,y,CPI,PPI,Real GDP,Industrial Production,Balance of Trade,M1,Housing Starts,Employment Report,Treasury Yields
2009-03-31,797.87,7608.92,212.5,169.1,15155.94,89.02,-30.19,1578.9,505,132512,1.87
2009-02-28,735.09,7062.93,212.71,170.6,15155.94,90.45,-28.78,1567.2,582,133312,2.04
2009-01-31,825.88,8000.86,211.93,170.8,15155.94,91.04,-39.34,1582.8,490,134055,1.89
2008-12-31,903.25,8776.39,211.4,169.7,15328.03,93.25,-43.97,1601.7,560,134839,1.45
2008-11-30,896.24,8829.04,213.15,172.9,15328.03,96.06,-45.13,1514.6,652,135545,1.94
2008-10-31,968.75,9325.01,217,178.3,15328.03,97.28,-60.88,1473.8,777,136272,2.4
2008-09-30,1166.36,10850.66,218.88,182.7,15667.03,96.37,-60.29,1462,820,136753,1.86
2008-08-31,1282.83,11543.55,218.69,182,15667.03,100.74,-62.39,1407.4,844,137213,1.44
2008-07-31,1267.38,11378.02,219.02,183.4,15667.03,102.3,-66.99,1421.1,923,137491,1.44
2008-06-30,1280,11350.01,217.46,181.2,15752.31,102.84,-60.89,1404.6,1046,137687,1.35
2008-05-31,1400.38,12638.32,215.21,178.4,15752.31,103.09,-62.31,1393.4,973,137858,1.42
2008-04-30,1385.59,12820.13,213.94,175.9,15752.31,103.67,-63.73,1391.4,1013,138035,1.47
2008-03-31,1322.7,12262.89,213.45,175.4,15671.38,104.46,-60.2,1388.7,1005,138275,1.83
2008-02-29,1330.63,12266.39,212.69,173.9,15671.38,104.71,-64.23,1380.4,1103,138324,1.89
2008-01-31,1378.55,12650.36,212.17,173.3,15671.38,105.06,-61.34,1377.7,1084,138403,1.5
2007-12-31,1468.36,13264.82,211.45,171.7,15761.97,105.35,-58.29,1373.4,1037,138392,0.97
2007-11-30,1481.14,13371.72,210.83,172.4,15761.97,105.33,-60.68,1371.8,1197,138284,0.94
2007-10-31,1549.38,13930.01,209.19,169.3,15761.97,104.72,-57.67,1379.4,1264,138174,0.52
2007-09-30,1526.75,13895.63,208.55,167.6,15666.74,105.16,-58.16,1375.7,1183,138095,0.6
2007-08-31,1473.99,13357.74,207.67,166,15666.74,104.76,-57.21,1376.3,1330,138015,0.4
2007-07-31,1455.28,13211.99,207.6,167.2,15666.74,104.52,-60.25,1371.8,1354,138038,0.22
2007-06-30,1503.35,13408.62,207.23,166.1,15582.09,104.56,-60,1368.2,1448,138069,0.16
2007-05-31,1530.62,13627.64,206.76,166,15582.09,104.53,-59.57,1380.9,1415,137993,-0.02
2007-04-30,1482.37,13062.91,205.9,165.3,15582.09,104.48,-60.49,1378,1490,137842,0.03
2007-03-31,1420.86,12354.35,205.29,164.1,15493.33,103.75,-62.18,1366.5,1495,137793,0.07
2007-02-28,1406.82,12268.63,204.23,162.7,15493.33,103.53,-58.48,1363,1480,137558,-0.08
2007-01-31,1438.24,12621.69,203.44,160.9,15493.33,102.49,-58.01,1371.7,1409,137477,-0.11
2006-12-31,1418.3,12463.15,203.1,161.1,15456.93,103.03,-61.88,1366.6,1649,137249,-0.11
2006-11-30,1400.63,12221.93,202,160,15456.93,101.97,-58.94,1370.8,1570,137063,-0.15
2006-10-31,1377.94,12080.73,201.9,158.7,15456.93,102.07,-59.54,1370.3,1491,136852,-0.1
2006-09-30,1335.85,11679.07,202.8,160.2,15326.37,102.13,-65.1,1364.4,1720,136843,-0.06
2006-08-31,1303.82,11381.15,203.8,162.1,15326.37,102.33,-68.28,1372.4,1650,136694,-0.05
2006-07-31,1276.66,11185.68,202.9,161,15326.37,101.93,-66.91,1372.4,1737,136520,0.03
2006-06-30,1270.2,11150.22,201.8,161.4,15302.71,101.97,-63.8,1375.4,1802,136325,-0.02
2006-05-31,1270.09,11168.31,201.3,160.6,15302.71,101.58,-64.82,1387.2,1942,136244,0.08
2006-04-30,1310.61,11367.14,200.7,160.6,15302.71,101.68,-62.6,1381.4,1821,136205,0.19
2006-03-31,1294.83,11109.32,199.7,159.3,15267.03,101.28,-62.4,1383.2,1969,136047,0.03
2006-02-28,1280.66,10993.41,199.4,158.7,15267.03,101.07,-62.31,1378.4,2119,135737,-0.13
2006-01-31,1280.09,10864.86,199.3,160.5,15267.03,101.06,-66.97,1379.5,2273,135429,0
2005-12-31,1248.29,10717.5,198.1,159.6,15066.6,100.94,-64.57,1374.3,1994,135149,-0.01
2005-11-30,1249.48,10805.87,198.1,158.7,15066.6,100.32,-63.86,1376.1,2147,134993,0.08
2005-10-31,1207.01,10440.07,199.1,160.5,15066.6,99.31,-67.27,1376.5,2065,134655,0.18
2005-09-30,1228.81,10568.7,198.8,158.8,14972.05,98.08,-64.88,1378.6,2151,134566,0.16
2005-08-31,1220.33,10481.6,196.1,156.3,14972.05,99.94,-58.75,1377.8,2095,134498,0.2
2005-07-31,1234.18,10640.91,194.9,155,14972.05,99.67,-58.3,1369,2054,134296,0.26
2005-06-30,1191.33,10274.97,193.7,153.9,14839.78,99.99,-58.15,1380.1,2068,133942,0.28
2005-05-31,1191.5,10467.48,193.6,153.9,14839.78,99.6,-56.04,1366,2025,133690,0.41
2005-04-30,1156.85,10192.51,193.7,154.2,14839.78,99.47,-57.31,1358.4,2061,133518,0.55
2005-03-31,1180.59,10503.76,193.1,153.7,14771.6,99.31,-53.13,1370.9,1864,133156,0.7
2005-02-28,1203.6,10766.23,192.4,152.7,14771.6,99.46,-58.09,1371.1,2207,133032,0.78
2005-01-31,1181.27,10489.94,191.6,151.9,14771.6,98.78,-56.19,1367.1,2144,132774,0.85
2004-12-31,1211.92,10783.01,191.7,151.4,14609.88,98.33,-54.92,1376,2042,132624,1.15
2004-11-30,1173.82,10428.02,191.7,152.1,14609.88,97.61,-58.97,1374.2,1782,132503,1.35
2004-10-31,1130.2,10027.47,190.8,151.2,14609.88,97.41,-55.06,1362.3,2072,132447,1.47
2004-09-30,1114.58,10080.27,189.8,148.8,14464.98,96.49,-51.69,1362.5,1905,132093,1.51
2004-08-31,1104.24,10173.92,189.2,148.6,14464.98,96.41,-53.65,1354.3,2024,131937,1.72
2004-07-31,1101.72,10139.71,189.1,148.2,14464.98,96.34,-51.61,1340.8,2002,131848,1.8
2004-06-30,1140.84,10435.48,188.9,148.4,14329.52,95.6,-54.17,1342.7,1828,131793,1.9
2004-05-31,1120.68,10188.45,188.2,148.4,14329.52,96.4,-47.55,1333.3,1981,131694,2.11
2004-04-30,1107.31,10225.57,187.4,147.2,14329.52,95.64,-47.28,1332.8,2003,131411,2.19
2004-03-31,1126.21,10357.7,187.1,146.2,14221.15,95.21,-46.75,1328.7,1998,131142,2.26
2004-02-29,1144.94,10583.92,186.7,145.8,14221.15,95.68,-44.55,1321.4,1846,130825,2.33
